Packing List in accordance with Invoice No. 2210331,,,,,
,,,,,
Container No. CAIU 427340-6,,,,CIF LOS ANGELES,
,,,,,
GRS RECYCLED GREY DOWN,,,,,
 acc. to Sample No. 33906,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,156.40 kg,2.00 kg,154.40 kg,2.2046,340.39lbs
2,158.80 kg,2.00 kg,156.80 kg,2.2046,345.68lbs
3,158.00 kg,2.00 kg,156.00 kg,2.2046,343.92lbs
4,157.60 kg,2.00 kg,155.60 kg,2.2046,343.04lbs
5,156.80 kg,2.00 kg,154.80 kg,2.2046,341.27lbs
6,160.80 kg,2.00 kg,158.80 kg,2.2046,350.09lbs
7,157.20 kg,2.00 kg,155.20 kg,2.2046,342.15lbs
8,146.60 kg,2.00 kg,144.60 kg,2.2046,318.79lbs
9,126.40 kg,1.60 kg,124.80 kg,2.2046,275.13lbs
9 Bales,"1,378.60 kg",17.60 kg,"1,361.00 kg",,3000.46lbs
,3039.26lbs,,3000.46lbs,,
,,,,,
,,,,,
GRS WASHED RECYCLED GREY DOWN,,,,,
 acc. to Sample No. 33876,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,308.80 kg,4.00 kg,304.80 kg,2.2046,671.96lbs
2,318.80 kg,4.00 kg,314.80 kg,2.2046,694.01lbs
3,312.40 kg,4.00 kg,308.40 kg,2.2046,679.90lbs
4,313.20 kg,4.00 kg,309.20 kg,2.2046,681.66lbs
5,314.40 kg,4.00 kg,310.40 kg,2.2046,684.31lbs
6,310.00 kg,4.00 kg,306.00 kg,2.2046,674.61lbs
7,315.20 kg,4.00 kg,311.20 kg,2.2046,686.07lbs
8,312.60 kg,4.00 kg,308.60 kg,2.2046,680.34lbs
9,285.60 kg,4.00 kg,281.60 kg,2.2046,620.82lbs
10,306.80 kg,4.00 kg,302.80 kg,2.2046,667.55lbs
11,302.00 kg,4.00 kg,298.00 kg,2.2046,656.97lbs
12,280.40 kg,3.60 kg,276.80 kg,2.2046,610.23lbs
13,290.60 kg,3.60 kg,287.00 kg,2.2046,632.72lbs
13 Bales,"3,970.80 kg",51.20 kg,"3,919.60 kg",,8641.15lbs
,8754.03lbs,,8641.15lbs,,
,,,,,
,,,,,
GRS RECYCLED GREY DOWN,,,,,
 acc. to Sample No. 33880,,,,,
,,,,,
Bale No.,Gross weight,Tare:,Net weight:,Faktor,lbs
1,448.80 kg,4.40 kg,444.40 kg,2.2046,979.72lbs
2,444.40 kg,4.40 kg,440.00 kg,2.2046,970.02lbs
3,444.00 kg,4.40 kg,439.60 kg,2.2046,969.14lbs
4,444.40 kg,4.40 kg,440.00 kg,2.2046,970.02lbs
5,445.80 kg,4.40 kg,441.40 kg,2.2046,973.11lbs
6,449.20 kg,4.40 kg,444.80 kg,2.2046,980.61lbs
7,491.00 kg,4.80 kg,486.20 kg,2.2046,1071.88lbs
8,500.40 kg,5.20 kg,495.20 kg,2.2046,1091.72lbs
9,514.80 kg,5.20 kg,509.60 kg,2.2046,1123.46lbs
9 Bales,"4,182.80 kg",41.60 kg,"4,141.20 kg",,9129.69lbs
,9221.40lbs,,9129.69lbs,,
